iter	RMSE
0	9.095854722
1	8.935266916
2	8.724675539
3	8.555100778
4	8.375552549
5	8.224670613
6	8.050731131
7	7.879883423
8	7.72988898
9	7.574755301
10	7.414918432
11	7.274657816
12	7.123876542
13	6.995598296
14	6.865862949
15	6.737541313
16	6.605751425
17	6.483106155
18	6.365861467
19	6.232197262
20	6.100197155
21	5.987035936
22	5.904545332
23	5.796220641
24	5.690993035
25	5.605585184
26	5.510259952
27	5.424752682
28	5.340932352
29	5.248434282
30	5.152795867
31	5.070651452
32	5.000716896
33	4.928673817
34	4.850996116
35	4.786273346
36	4.723907996
37	4.645085974
38	4.570675411
39	4.500545265
40	4.435898764
41	4.365336086
42	4.311811074
43	4.264939239
44	4.208820827
45	4.158696488
46	4.111551012
47	4.05756659
48	4.022280493
49	3.972352944
50	3.916523907
51	3.874624285
52	3.829903372
53	3.795910808
54	3.752590666
55	3.709710912
56	3.672142242
57	3.632059811
58	3.601225338
59	3.562532918
60	3.519028118
61	3.475731425
62	3.448499116
63	3.417482281
64	3.389137606
65	3.359217026
66	3.326142312
67	3.299061498
68	3.273978138
69	3.250779623
70	3.22444747
71	3.201759918
72	3.170789948
73	3.144487855
74	3.118613449
75	3.096650471
76	3.067685327
77	3.041493235
78	3.011850588
79	2.987556418
80	2.964935316
81	2.940439446
82	2.926058846
83	2.897505131
84	2.876626389
85	2.854418559
86	2.836392681
87	2.818129106
88	2.798686898
89	2.780411713
90	2.760346641
91	2.743147874
92	2.731692906
93	2.714584193
94	2.69632607
95	2.685747585
96	2.669121757
97	2.652837312
98	2.640089608
99	2.624100485
100	2.612406976
101	2.594610392
102	2.575341285
103	2.559440604
104	2.547498231
105	2.531295829
106	2.516847096
107	2.502907056
108	2.493026421
109	2.483443267
110	2.470730523
111	2.454355514
112	2.43882873
113	2.428378232
114	2.418653643
115	2.411960797
116	2.398864944
117	2.388968965
118	2.378467285
119	2.37049782
120	2.360041687
121	2.351879612
122	2.339723366
123	2.331890263
124	2.318468936
125	2.308745332
126	2.300197311
127	2.290696699
128	2.280554073
129	2.272840929
130	2.267009862
131	2.257179764
132	2.251856875
133	2.243002373
134	2.23442956
135	2.224380773
136	2.215820332
137	2.211293461
138	2.205259824
139	2.198291439
140	2.190439099
141	2.181909142
142	2.174611044
143	2.165805593
144	2.159086147
145	2.151281842
146	2.140548271
147	2.133653161
148	2.124376306
149	2.115991746
150	2.109423341
151	2.101350786
152	2.093826956
153	2.08981008
154	2.084026946
155	2.076645024
156	2.070849884
157	2.064418153
158	2.059686142
159	2.056453677
160	2.04924968
161	2.042921409
162	2.038661227
163	2.029691822
164	2.025242022
165	2.018655284
166	2.010281449
167	2.003399277
168	1.997425918
169	1.991451007
170	1.98459957
171	1.977588668
172	1.970339441
173	1.967499065
174	1.96280654
175	1.959017233
176	1.953779297
177	1.947504865
178	1.943351675
179	1.938057374
180	1.932955321
181	1.928833407
182	1.922491071
183	1.915763721
184	1.91076165
185	1.903874221
186	1.896324193
187	1.894992364
188	1.890242558
189	1.885210532
190	1.878972605
191	1.873079665
192	1.868672898
193	1.863292457
194	1.856876885
195	1.853166492
196	1.84787142
197	1.844718115
198	1.838718591
199	1.833754616
200	1.829914757
201	1.824449198
202	1.822197964
203	1.817668391
204	1.812791862
205	1.808065956
206	1.802786857
207	1.797819558
208	1.79198577
209	1.786704857
210	1.782405957
211	1.777141317
212	1.77276133
213	1.769660321
214	1.762912704
215	1.760007227
216	1.753183137
217	1.746808708
218	1.742132664
219	1.737544411
220	1.733238653
221	1.730202733
222	1.726136034
223	1.7193164
224	1.712966802
225	1.709845254
226	1.707072096
227	1.702424263
228	1.695590886
229	1.691710602
230	1.689094839
231	1.683388452
232	1.679296122
233	1.675982262
234	1.673876535
235	1.667735423
236	1.664705676
237	1.662082515
238	1.657463091
239	1.654451596
240	1.650855932
241	1.64794192
242	1.644572725
243	1.637517211
244	1.633549727
245	1.630594319
246	1.626679036
247	1.622699222
248	1.620309604
249	1.616833241
250	1.613400798
251	1.609536039
252	1.606074372
253	1.60448781
254	1.600507835
255	1.597962431
256	1.596369904
257	1.591755901
258	1.588281016
259	1.583576148
260	1.580043893
261	1.578629933
262	1.573627886
263	1.572302984
264	1.566956574
265	1.564927736
266	1.558216128
267	1.553281463
268	1.552102501
269	1.547724839
270	1.541915378
271	1.53788011
272	1.533483475
273	1.532440872
274	1.528307442
275	1.522159021
276	1.520738154
277	1.516599882
278	1.515306621
279	1.511366742
280	1.507800963
281	1.503948767
282	1.500063738
283	1.498377419
284	1.497313917
285	1.494990653
286	1.490919654
287	1.488462711
288	1.485930765
289	1.484703641
290	1.483155893
291	1.482254366
292	1.477378411
293	1.475560974
294	1.47057768
295	1.466366673
296	1.462853128
297	1.46056195
298	1.455019312
299	1.452519266
300	1.448344491
301	1.44638181
302	1.44333029
303	1.442008378
304	1.44020759
305	1.436131863
306	1.431542418
307	1.42734001
308	1.423555156
