iter	Passed	Remaining
0	50	50771
1	52	26126
2	53	17811
3	54	13668
4	56	11171
5	57	9510
6	58	8318
7	60	7440
8	61	6737
9	62	6177
10	63	5719
11	64	5342
12	66	5015
13	67	4737
14	68	4497
15	69	4286
16	70	4102
17	72	3934
18	73	3784
19	74	3652
20	75	3529
21	76	3418
22	78	3323
23	79	3233
24	80	3141
25	81	3053
26	82	2972
27	83	2887
28	83	2806
29	84	2732
30	85	2661
31	85	2595
32	86	2529
33	86	2467
34	87	2407
35	87	2351
36	88	2299
37	88	2250
38	89	2203
39	89	2159
40	90	2115
41	90	2074
42	91	2036
43	92	2001
44	92	1968
45	93	1938
46	93	1905
47	94	1873
48	94	1842
49	95	1812
50	95	1785
51	96	1758
52	96	1732
53	97	1703
54	97	1679
55	98	1655
56	98	1632
57	99	1610
58	99	1589
59	100	1569
60	100	1550
61	101	1530
62	101	1512
63	102	1493
64	102	1476
65	103	1459
66	103	1442
67	104	1426
68	104	1410
69	105	1395
70	105	1380
71	105	1365
72	106	1351
73	106	1337
74	107	1324
75	107	1310
76	108	1298
77	108	1285
78	109	1273
79	109	1262
80	110	1250
81	110	1239
82	111	1228
83	111	1218
84	112	1207
85	112	1197
86	113	1187
87	113	1177
88	114	1168
89	114	1158
90	115	1151
91	115	1142
92	116	1133
93	116	1125
94	117	1116
95	117	1108
96	118	1100
97	118	1092
98	119	1084
99	119	1076
100	120	1068
101	120	1061
102	121	1054
103	121	1046
104	121	1039
105	122	1032
106	122	1025
107	123	1019
108	123	1012
109	124	1006
110	124	999
111	125	993
112	125	987
113	126	981
114	126	975
115	127	969
116	127	963
117	128	957
118	128	952
119	129	947
120	129	941
121	130	936
122	130	930
123	131	925
124	131	920
125	132	915
126	132	910
127	132	905
128	133	901
129	133	896
130	134	891
131	134	887
132	135	881
133	135	876
134	136	872
135	136	867
136	137	863
137	137	859
138	137	854
139	138	850
140	138	846
141	139	842
142	139	838
143	140	834
144	140	830
145	141	826
146	141	822
147	142	818
148	142	814
149	143	810
150	143	807
151	144	804
152	144	800
153	145	796
154	145	793
155	145	789
156	146	786
157	146	783
158	147	779
159	147	776
160	148	772
161	148	769
162	149	766
163	149	762
164	150	759
165	150	756
166	151	753
167	151	750
168	152	747
169	152	745
170	153	742
171	153	739
172	154	736
173	154	733
174	154	730
175	155	727
176	155	724
177	156	722
178	156	719
179	157	716
180	157	713
181	158	711
182	158	708
183	159	706
184	159	703
185	160	700
186	160	698
187	160	694
188	161	692
189	161	689
190	162	687
191	162	684
192	163	682
193	163	680
194	164	677
195	164	675
196	165	673
197	165	671
198	166	668
199	166	666
200	167	664
201	167	662
202	168	660
203	168	657
204	169	655
205	169	653
206	169	651
207	170	649
208	170	646
209	171	644
210	171	642
211	172	640
212	172	638
213	173	636
214	173	634
215	174	632
216	174	630
217	175	628
218	175	626
219	176	624
220	176	622
221	177	620
222	177	618
223	178	617
224	178	615
225	179	613
226	179	611
227	180	609
228	180	607
229	181	606
230	181	604
231	181	602
232	182	600
233	182	598
234	183	596
235	183	595
236	184	593
237	184	591
238	185	589
239	185	588
240	186	586
241	186	584
242	187	582
243	187	581
244	188	579
245	188	578
246	189	576
247	189	574
248	189	573
249	190	571
250	190	569
251	191	568
252	191	566
253	192	565
254	192	563
255	193	561
256	193	560
257	194	558
258	194	557
259	195	555
260	195	554
261	196	552
262	196	551
263	197	549
264	197	548
265	198	546
266	198	545
267	199	543
268	199	542
269	199	540
270	200	539
271	200	537
272	201	536
273	201	534
274	202	533
275	202	531
276	203	530
277	203	529
278	204	527
279	204	526
280	205	524
281	205	523
282	205	521
283	206	520
284	206	519
285	207	517
286	207	516
287	208	515
288	208	513
289	209	512
290	209	511
291	210	510
292	210	509
293	211	507
294	211	506
295	212	505
296	213	504
297	213	503
298	214	501
299	214	500
300	214	499
301	215	497
302	215	496
303	216	495
304	216	494
305	217	492
306	217	491
307	218	490
308	218	489
309	219	487
310	219	486
311	220	485
312	220	484
313	221	483
314	221	481
315	222	480
316	222	479
